starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 01 19:42:26 2014	1388605346	0	5	5	5
Wed Jan 01 19:42:26 2014	1388605346	0	5	5	5
Wed Jan 01 19:42:26 2014	1388605346	0	5	5	5
Wed Jan 01 19:42:26 2014	1388605346	0	5	6	5
Wed Jan 01 19:42:26 2014	1388605346	0	6	6	6
Wed Jan 01 19:42:26 2014	1388605346	0	6	6	6
Wed Jan 01 19:42:26 2014	1388605346	0	6	6	6
Wed Jan 01 19:42:26 2014	1388605346	0	6	6	5
Wed Jan 01 19:42:26 2014	1388605346	0	6	6	6
Wed Jan 01 19:42:26 2014	1388605346	0	6	6	6
Wed Jan 01 19:42:26 2014	1388605346	0	6	6	6
Wed Jan 01 19:42:26 2014	1388605346	0	6	6	6
Wed Jan 01 19:42:26 2014	1388605346	0	7	7	7
Wed Jan 01 19:42:26 2014	1388605346	0	7	7	7
Wed Jan 01 19:42:26 2014	1388605346	0	7	7	7
Wed Jan 01 19:42:26 2014	1388605346	0	7	7	7
Wed Jan 01 19:42:26 2014	1388605346	0	7	7	7
Wed Jan 01 19:42:26 2014	1388605346	0	7	7	7
Wed Jan 01 19:42:26 2014	1388605346	0	7	7	7
Wed Jan 01 19:42:26 2014	1388605346	0	7	8	7
Wed Jan 01 19:42:26 2014	1388605346	0	8	8	8
Wed Jan 01 19:42:26 2014	1388605346	0	8	8	8
Wed Jan 01 19:42:26 2014	1388605346	0	8	8	8
Wed Jan 01 19:42:26 2014	1388605346	0	8	8	8
Wed Jan 01 19:42:26 2014	1388605346	0	8	8	8
Wed Jan 01 19:42:26 2014	1388605346	0	8	8	8
Wed Jan 01 19:42:26 2014	1388605346	0	8	8	8
Wed Jan 01 19:42:26 2014	1388605346	0	9	9	9
Wed Jan 01 19:42:26 2014	1388605346	0	9	9	9
Wed Jan 01 19:42:26 2014	1388605346	0	9	9	9
Wed Jan 01 19:42:26 2014	1388605346	0	9	9	9
Wed Jan 01 19:42:26 2014	1388605346	0	9	9	9
Wed Jan 01 19:42:26 2014	1388605346	0	9	9	9
Wed Jan 01 19:42:26 2014	1388605346	0	9	9	9
Wed Jan 01 19:42:26 2014	1388605346	0	9	10	9
Wed Jan 01 19:42:26 2014	1388605346	0	10	10	10
Wed Jan 01 19:42:26 2014	1388605346	0	10	10	10
Wed Jan 01 19:42:26 2014	1388605346	0	10	10	10
Wed Jan 01 19:42:26 2014	1388605346	0	10	10	10
Wed Jan 01 19:42:26 2014	1388605346	0	10	10	10
Wed Jan 01 19:42:26 2014	1388605346	0	10	10	10
Wed Jan 01 19:42:26 2014	1388605346	0	10	10	10
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
Wed Jan 01 19:42:25 2014	1388605345	0	11	11	11
Wed Jan 01 19:42:26 2014	1388605346	0	11	11	11
